0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:38:18 +0900] "GET /aladin/css/login.css HTTP/1.1" 200 2702
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:38:18 +0900] "GET /aladin/img/icon/logo_naver_w.svg HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:38:18 +0900] "GET /aladin/img/icon/logo_kakao.svg HTTP/1.1" 200 2174
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:38:18 +0900] "GET /aladin/img/icon/logo_google.svg HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:38:18 +0900] "GET /aladin/img/icon/logo_apple_w.svg HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:38:21 +0900] "POST /aladin/login.do HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:38:22 +0900] "GET /aladin/index.do HTTP/1.1" 200 47494
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:38:42 +0900] "GET /aladin/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:38:42 +0900] "GET /aladin/index.do HTTP/1.1" 200 47399
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:52:18 +0900] "GET /aladin/login.do HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:52:20 +0900] "POST /aladin/login.do HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:52:20 +0900] "GET /aladin/index.do HTTP/1.1" 200 47494
0:0:0:0:0:0:0:1 - - [22/Jun/2025:22:10:28 +0900] "GET /aladin/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2025:22:10:30 +0900] "GET /aladin/index.do HTTP/1.1" 200 47397
0:0:0:0:0:0:0:1 - - [22/Jun/2025:22:10:31 +0900] "GET /aladin/login.do HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [22/Jun/2025:22:11:12 +0900] "POST /aladin/login.do HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [22/Jun/2025:22:11:41 +0900] "GET /aladin/login.do HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [22/Jun/2025:22:11:43 +0900] "POST /aladin/login.do HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [22/Jun/2025:22:16:01 +0900] "GET /aladin/login.do HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [22/Jun/2025:22:18:24 +0900] "GET /aladin/login.do HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [22/Jun/2025:23:40:32 +0900] "GET /aladin/login.do HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [22/Jun/2025:23:40:35 +0900] "GET /aladin/join.do HTTP/1.1" 200 38926
0:0:0:0:0:0:0:1 - - [22/Jun/2025:23:40:35 +0900] "GET /aladin/img/joinBanner/joinBanner.png HTTP/1.1" 200 8708
0:0:0:0:0:0:0:1 - - [22/Jun/2025:23:40:35 +0900] "GET /aladin/css/join.css HTTP/1.1" 200 2513
0:0:0:0:0:0:0:1 - - [22/Jun/2025:23:40:35 +0900] "GET /aladin/script/join.js HTTP/1.1" 200 2633
